code,vaccinated
410550,1
411210,1
411550,1
411210,2
320530,1
410830,1
412770,1
411210,3
411342,1
412770,2
420910,1
411210,4
411210,5
410380,1
411550,2
411520,1
411550,3
412550,1
410940,1
410480,1
410140,1
354425,1
410430,1
411370,1
411110,1
410425,1
411125,1
410725,1
421500,1
410180,1
410420,1
410430,2
421360,1
352900,1
411320,2
411690,1
411730,1
411820,1
411915,1
412810,5
410940,3
411970,2
412220,1
411560,1
412862,1
410670,1
410640,1
410380,2
410200,1
411670,2
410580,1
410480,2
410690,4
411840,1
411100,1
411725,1
411721,1
411705,1
411325,1
410965,1
410465,2
411960,3
412260,1
412760,1
412862,2
500230,1
510340,1
510455,1
411850,3
510600,1
431490,1
421820,1
421830,1
420910,3
420820,1
412880,11
412853,4
412850,25
412840,3
412830,8
412810,7
420900,1
410460,1
420500,1
412700,1
420300,1
421250,1
510775,1
412000,3
412070,5
412270,2
412340,1
420205,1
412360,1
412430,2
412460,1
412510,2
412540,2
412550,3
412570,1
412625,1
412382,1
410440,1
411440,1
410050,2
410200,2
410240,7
410270,6
410290,1
410300,1
410442,1
410520,1
410530,1
410580,6
410590,2
410160,2
410755,2
411007,2
411020,1
411070,2
411160,1
411190,1
411210,7
411220,1
411295,2
411330,1
411375,1
410850,2
410140,3
410100,1
410030,1
355190,1
353150,1
352040,1
411600,1
411800,1
411780,1
411760,1
411690,5
412790,7
411660,2
110002,1
110020,1
130014,1
130170,1
292740,1
351280,1
352050,1
352530,1
352900,2
353470,1
354140,1
354980,1
410010,1
410180,2
412780,3
411890,1
412720,9
411580,4
411575,1
411570,5
411550,49
411540,5
411520,26
411510,1
411480,23
411450,1
411430,17
411420,2
411410,1
411380,3
411373,3
411370,57
411342,3
411340,15
412470,2
411320,3
411310,1
411300,6
411270,16
411240,38
411230,24
411180,30
411150,4
411140,1
411630,28
411125,45
411670,3
411710,1
412410,7
412390,12
412320,2
412300,7
412250,45
412240,2
412220,6
412175,1
412170,1
412160,2
412130,27
412110,43
412060,1
412040,16
411995,45
411990,19
411965,11
411940,8
411915,3
412750,42
411880,1
411860,6
411820,29
411810,6
411750,6
411740,20
411730,68
411680,44
411120,3
411110,3
411080,2
410420,3
410390,2
410370,40
410360,9
410330,8
410322,3
410320,32
410304,16
410220,13
410210,70
410190,8
410170,9
410150,4
410120,25
410110,1
410040,3
410020,3
355620,1
355540,2
352710,1
352590,1
352270,1
352170,1
351780,1
351510,1
351500,1
351060,1
410430,15
410450,6
410480,8
410490,78
411050,4
411000,1
410980,3
410970,12
410960,40
410950,1
410940,7
410865,4
